sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	marker	type	batch
SAMPLE_50_CD8	SAMPLE_50	female	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_51_CD4	SAMPLE_51	male	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_51_CD8	SAMPLE_51	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_52_CD4	SAMPLE_52	male	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_52_CD8	SAMPLE_52	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_53_CD4	SAMPLE_53	male	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_53_CD8	SAMPLE_53	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_54_CD4	SAMPLE_54	female	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_54_CD8	SAMPLE_54	female	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_55_CD4	SAMPLE_55	male	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
SAMPLE_55_CD8	SAMPLE_55	male	T-cell	naive	T-cell_CD8	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD8	microarray	NA
SAMPLE_56_CD4	SAMPLE_56	female	T-cell	naive	T-cell_CD4	0	NA	NA	NA	HumanHT-12_V4	TRUE	TRUE	Kasela_2017	CD4	microarray	NA
